IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
35.201.203.106,443,TRUE,TPE,Asia Pacific,Taipei,79 ms,24315 kB/s
13.250.131.37,443,TRUE,SIN,Asia Pacific,Singapore,109 ms,21253 kB/s
64.110.88.46,443,TRUE,NRT,Asia Pacific,Tokyo,97 ms,17511 kB/s
15.165.49.161,8080,TRUE,ICN,Asia Pacific,Seoul,129 ms,17300 kB/s
47.76.159.146,2053,TRUE,HKG,Asia Pacific,Hong Kong,69 ms,13512 kB/s
47.238.40.58,2053,TRUE,HKG,Asia Pacific,Hong Kong,68 ms,12928 kB/s
47.238.40.58,2087,TRUE,HKG,Asia Pacific,Hong Kong,66 ms,12307 kB/s
192.9.246.112,8443,TRUE,SJC,North America,San Jose,177 ms,11452 kB/s
150.230.47.17,443,TRUE,SJC,North America,San Jose,179 ms,11121 kB/s
18.167.194.154,443,TRUE,HKG,Asia Pacific,Hong Kong,128 ms,10536 kB/s
47.76.159.146,2083,TRUE,HKG,Asia Pacific,Hong Kong,81 ms,9639 kB/s
65.75.193.21,37813,TRUE,SJC,North America,San Jose,177 ms,7478 kB/s
152.70.155.147,2096,TRUE,LAX,North America,Los Angeles,265 ms,7274 kB/s
18.167.208.181,443,TRUE,HKG,Asia Pacific,Hong Kong,143 ms,6964 kB/s
65.75.193.187,34237,TRUE,SJC,North America,San Jose,175 ms,6904 kB/s
35.197.23.75,443,TRUE,SEA,North America,Seattle,208 ms,6737 kB/s
47.76.204.76,8443,TRUE,HKG,Asia Pacific,Hong Kong,57 ms,5947 kB/s
47.76.204.76,2096,TRUE,HKG,Asia Pacific,Hong Kong,62 ms,5754 kB/s
8.222.191.138,2053,TRUE,SIN,Asia Pacific,Singapore,319 ms,5596 kB/s
8.219.114.201,2096,TRUE,SIN,Asia Pacific,Singapore,333 ms,5480 kB/s
8.219.142.191,2083,TRUE,SIN,Asia Pacific,Singapore,305 ms,5473 kB/s
47.76.204.76,2053,TRUE,HKG,Asia Pacific,Hong Kong,70 ms,5445 kB/s
152.70.117.136,443,TRUE,SJC,North America,San Jose,173 ms,5436 kB/s
8.219.189.143,2053,TRUE,SIN,Asia Pacific,Singapore,303 ms,5400 kB/s
8.219.191.40,8443,TRUE,SIN,Asia Pacific,Singapore,327 ms,5399 kB/s
8.219.194.170,2096,TRUE,SIN,Asia Pacific,Singapore,311 ms,5361 kB/s
8.219.139.13,2083,TRUE,SIN,Asia Pacific,Singapore,302 ms,5315 kB/s
